states,Confirmed,Deaths,Recovered
Alabama,222933,8348,0
Alaska,10813,288,7085
Arizona,238649,10387,186
Arkansas,93187,1962,50711
California,1521616,60122,136647
Colorado,416886,20992,17964
Colorado ,33952,1450,2028
Connecticut,811334,64857,1953
Delaware,138462,4453,44561
Diamond Princess,1519,0,0
District of Columbia,135060,6392,21776
Federal Bureau of Prisons,59541,990,18859
Florida,1027748,38013,6368
Georgia,798230,33008,10540
Grand Princess,3193,93,0
Guam,4434,155,3565
Hawaii,18708,442,15228
Idaho,60783,1792,26386
Illinois,1627092,70918,24678
Indiana,535013,31078,42608
Iowa,223815,4951,87128
Kansas,132264,4131,28924
Kentucky,142410,7068,45258
Louisiana,858240,56002,396170
Maine,34345,1541,19098
Maryland,677807,33173,44554
Massachusetts,1797834,101840,130028
Michigan,1224332,108880,328973
Minnesota,185209,10528,102386
Mississippi,207791,8589,57862
Missouri,240987,10592,51590
Montana,13800,428,10753
Navajo Nation,60628,2057,0
Nebraska,138417,1916,1503
Nevada,152350,7166,95576
New Hampshire,67281,2405,26571
New Jersey,3488260,208347,33756
New Mexico,102175,3802,24791
New York,9178045,689299,1026023
North Carolina,323958,11699,71200
North Dakota,31225,675,14205
Northern Mariana Islands,457,62,311
Ohio,541072,27883,29783
Oklahoma,110125,6476,72065
Oregon,77543,3056,19349
Pennsylvania,1418443,74614,23976
Puerto Rico,50160,2655,850
Rhode Island,248454,8397,13398
South Carolina,183264,6970,52032
South Dakota,74763,578,44214
Tennessee,340268,6124,163905
Texas,886271,23926,372821
US Military,202240,764,67591
United States Virgin Islands,1870,112,1585
Utah,141145,1413,32064
Vermont,26694,1426,5393
Veteran Affair,227822,15877,0
Virginia,489094,16836,44524
Washington,455276,24345,63446
West Virginia,34031,1184,15428
Wisconsin,216334,9471,78703
Wuhan Evacuee,124,0,0
Wyoming,16065,179,10717
